OA_Code,Latitude,Longitude
S00135307,57.21753244877263,-2.2146708982816374
S00135308,57.213561172124585,-2.2749447876908406
S00135309,57.207979448420154,-2.0939405834867255
S00135310,57.2111047524329,-2.189850876346946
S00135311,57.19734739295411,-2.167786936469564
S00135312,57.212508375693034,-2.188334985421164
S00135313,57.21223397856478,-2.185601947489326
S00135314,57.2126043392846,-2.1902228077336914
S00135315,57.21245052112595,-2.1849573720635087
S00135316,57.20089983084645,-2.1900466885705323
S00135317,57.210983699044405,-2.180579552235837
S00135318,57.2107595605442,-2.186422273680592
S00135319,57.20927221560276,-2.183832332977226
S00135320,57.20962833328633,-2.1860027081347724
S00135321,57.2103528881844,-2.1819670491031484
S00135322,57.20904980023011,-2.176067420057346
S00135323,57.21018605212421,-2.1793009580464444
S00135324,57.20989338915495,-2.182908382159269
S00135325,57.209453777633954,-2.188600829104344
S00135326,57.20943149066426,-2.1792972945826676
S00135327,57.20887538749131,-2.1849063600071483
S00135328,57.209068577350465,-2.181795181482327
S00135329,57.20859646158216,-2.1790283805913564
S00135330,57.20784822302969,-2.187003502186299
S00135331,57.20886027513201,-2.176695563581777
S00135332,57.20791551032716,-2.1840242216028374
S00135333,57.20756113945048,-2.174272567903745
S00135334,57.20799562287298,-2.178313668214449
S00135335,57.20775915671999,-2.180348592171661
S00135336,57.20743468980835,-2.1872166005633864
S00135337,57.207378146862034,-2.176655366242478
S00135338,57.20685506915203,-2.1843334446988023
S00135339,57.20631524930719,-2.190902186928139
S00135340,57.20477364696964,-2.17626221260438
S00135341,57.20714636187871,-2.1817029545558517
S00135342,57.206562261718176,-2.1879405038560984
S00135343,57.20487113382054,-2.1055025601798687
S00135344,57.20535910150246,-2.1875702315018253
S00135345,57.19914750898252,-2.096201927286634
S00135346,57.20514946338177,-2.183546979086272
S00135347,57.20416365886995,-2.102885361277272
S00135348,57.203707166328535,-2.1869494356003694
S00135349,57.20358791076029,-2.1886039836540307
S00135350,57.20388358322108,-2.1048211201798543
S00135351,57.201885641191744,-2.098344110448035
S00135352,57.20312673618168,-2.1846127637200095
S00135353,57.202718543938076,-2.101491039546341
S00135354,57.203411729731386,-2.0996226367702486
S00135355,57.20315069693466,-2.100283983728482
S00135356,57.202829590903846,-2.191082788765892
S00135357,57.202329414519845,-2.104965663947346
S00135358,57.20034384809377,-2.1771182296360143
S00135359,57.20300334318407,-2.1767337513626432
S00135360,57.203429495688766,-2.1739054940384293
S00135361,57.20293795463563,-2.1785044191692706
S00135362,57.20231080025786,-2.183582527741237
S00135363,57.20239714587997,-2.0990075120516583
S00135364,57.20113892438341,-2.1863571747450132
S00135365,57.20102182872248,-2.180431553055283
S00135366,57.18949570735521,-2.2749809130309444
S00135367,57.20129824222326,-2.181856245125328
S00135368,57.20155087700705,-2.1215471317502583
S00135369,57.20109633071917,-2.09681937230765
S00135370,57.201250160369966,-2.125882359309565
S00135371,57.200353356648705,-2.1243897972954593
S00135372,57.20098527424504,-2.1212142629505655
S00135373,57.20038465433174,-2.128974270095995
S00135374,57.200653393215084,-2.100343397587758
S00135375,57.19950190474115,-2.18168190610002
S00135376,57.199855672250024,-2.185473560166907
S00135377,57.20026080418822,-2.1271036866198294
S00135378,57.20060260208612,-2.0963877727887215
S00135379,57.19992385866474,-2.1027080424838482
S00135380,57.20004768451927,-2.1050419239079683
S00135381,57.20005842261553,-2.1228662113602037
S00135382,57.20009182956819,-2.12541501190957
S00135383,57.1993698331546,-2.1798276985178044
S00135384,57.19849026645925,-2.0981199219696394
S00135385,57.19807338548907,-2.1818403720500195
S00135386,57.19947641844921,-2.100604991640127
S00135387,57.19881829210647,-2.1035158841820203
S00135388,57.19310185280234,-2.1783410754702315
S00135389,57.19859497851434,-2.130970479799914
S00135390,57.19862073394432,-2.1232917081290816
S00135391,57.19775694941416,-2.1247285769426347
S00135392,57.198159822570084,-2.1260869613641145
S00135393,57.1982976455839,-2.182056614682288
S00135394,57.197039946807024,-2.1031799253665913
S00135395,57.197346247601416,-2.102105116284909
S00135396,57.19731061216757,-2.1307838890322257
S00135397,57.18998830239403,-2.1319326871815303
S00135398,57.196593601943455,-2.0997200701738477
S00135399,57.19153522853283,-2.1211997902778714
S00135400,57.17961507034676,-2.2095381287046716
S00135401,57.19672760065255,-2.1299378544694454
S00135402,57.19620492934737,-2.102697693686324
S00135403,57.19593605351367,-2.1309445018877713
S00135404,57.19543162010005,-2.1322665412256585
S00135405,57.19441126316527,-2.0990688259864427
S00135406,57.19436440015155,-2.121672402312504
S00135407,57.194735195691756,-2.1190756611993007
S00135408,57.19499625814262,-2.0976638463156814
S00135409,57.19537391439451,-2.1272688922082184
S00135410,57.19442937362797,-2.1285728816756566
S00135411,57.1946434268701,-2.130062901495046
S00135412,57.19483689509082,-2.1159981394588567
S00135413,57.19423874709274,-2.101368438695561
S00135414,57.19428454587693,-2.1206462045530805
S00135415,57.19438684780545,-2.12622300561848
S00135416,57.193644229670234,-2.1137439945029763
S00135417,57.19432680870734,-2.1321798478368983
S00135418,57.192142534931946,-2.177029280834312
S00135419,57.192716037898315,-2.106890830769293
S00135420,57.19347960013533,-2.0957734787880002
S00135421,57.193405286924865,-2.1286024103868857
S00135422,57.19354600858101,-2.1314986262808806
S00135423,57.193516221469025,-2.1161925543677915
S00135424,57.1908940291745,-2.183194896813268
S00135425,57.19208494282568,-2.179626784607354
S00135426,57.192743167001424,-2.116752707653293
S00135427,57.19235674111631,-2.126182974374689
S00135428,57.192615025415115,-2.109438712144062
S00135429,57.19180363361598,-2.102271793813992
S00135430,57.191879487721764,-2.1181564087572213
S00135431,57.19077222859492,-2.100250354013547
S00135432,57.19224372813922,-2.131262339944546
S00135433,57.19192681005558,-2.115575340849801
S00135434,57.192020688952006,-2.129788924545952
S00135435,57.191178571011754,-2.12756880865768
S00135436,57.19170846732716,-2.0977047855126343
S00135437,57.18798412681973,-2.1765295713796373
S00135438,57.184203719454466,-2.1995391624664977
S00135439,57.19137485678477,-2.119825943325802
S00135440,57.1888481407365,-2.1023959658380895
S00135441,57.190002924546306,-2.1071973390042253
S00135442,57.1907493630956,-2.1256149273052203
S00135443,57.19108688126648,-2.110625487542514
S00135444,57.19018507054601,-2.1327441196163868
S00135445,57.18991774698454,-2.1121441596820385
S00135446,57.190597443648485,-2.1154553604651545
S00135447,57.19011028771033,-2.1785086396655386
S00135448,57.18930448093237,-2.1329891318910787
S00135449,57.190625266279945,-2.123943389771646
S00135450,57.18976085077341,-2.116726733739436
S00135451,57.18934645819391,-2.1179828534114638
S00135452,57.19067095126815,-2.182167955383643
S00135453,57.18965210698118,-2.1847439975627245
S00135454,57.188531524419695,-2.176929260580591
